response_id,submitted_at,age_group,role,experience_years,satisfaction,recommend_score,primary_use_case,weekly_hours,pain_point,would_pay
R001,2024-02-01,25-34,Engineer,3,satisfied,9,automation,10-20,documentation,yes
R002,2024-02-01,35-44,Manager,8,neutral,6,reporting,5-10,slow_performance,maybe
R003,2024-02-02,18-24,Student,0,satisfied,8,learning,1-5,steep_learning_curve,no
R004,2024-02-03,45-54,Director,15,very_satisfied,10,strategy,1-5,,yes
R005,2024-02-04,25-34,Engineer,5,satisfied,9,automation,20+,integration_issues,yes
R006,2024-02-05,35-44,Engineer,7,dissatisfied,3,debugging,10-20,poor_docs,no
R007,2024-02-06,25-34,Designer,2,satisfied,8,prototyping,5-10,missing_features,maybe
R008,2024-02-07,18-24,Student,1,neutral,7,learning,1-5,steep_learning_curve,no
R009,2024-02-08,55+,Manager,20,very_satisfied,10,reporting,5-10,,yes
R010,2024-02-09,35-44,Engineer,6,satisfied,8,automation,10-20,documentation,yes
R011,2024-02-10,25-34,Analyst,4,neutral,6,reporting,5-10,slow_performance,maybe
R012,2024-02-11,45-54,Director,12,very_satisfied,9,strategy,1-5,,yes
R013,2024-02-12,18-24,Engineer,1,satisfied,7,learning,1-5,steep_learning_curve,yes
R014,2024-02-13,35-44,Designer,9,dissatisfied,4,prototyping,10-20,missing_features,no
R015,2024-02-14,25-34,Engineer,4,very_satisfied,10,automation,20+,,yes
R016,2024-02-15,45-54,Manager,11,satisfied,8,strategy,5-10,integration_issues,yes
R017,2024-02-16,35-44,Analyst,6,neutral,5,reporting,5-10,documentation,maybe
R018,2024-02-17,25-34,Engineer,3,satisfied,8,automation,10-20,poor_docs,yes
R019,2024-02-18,55+,Director,25,very_satisfied,10,strategy,1-5,,yes
R020,2024-02-19,18-24,Student,0,neutral,6,learning,1-5,steep_learning_curve,no
