order_id,order_date,customer_id,product,category,quantity,unit_price,discount,region,status
1001,2024-01-03,C-441,Wireless Headphones,Electronics,1,79.99,0.00,North,completed
1002,2024-01-05,C-882,Running Shoes,Apparel,2,54.99,5.00,South,completed
1003,2024-01-08,C-213,Coffee Maker,Kitchen,1,129.99,10.00,East,completed
1004,2024-01-10,C-557,Yoga Mat,Sports,1,34.99,0.00,West,completed
1005,2024-01-15,C-119,Desk Lamp,Home,2,24.99,0.00,North,completed
1006,2024-01-18,C-774,Bluetooth Speaker,Electronics,1,49.99,5.00,South,completed
1007,2024-01-22,C-336,Winter Jacket,Apparel,1,89.99,15.00,East,returned
1008,2024-01-25,C-990,Air Fryer,Kitchen,1,99.99,0.00,West,completed
1009,2024-02-01,C-441,Phone Stand,Electronics,3,12.99,0.00,North,completed
1010,2024-02-04,C-628,Resistance Bands,Sports,2,19.99,0.00,South,completed
1011,2024-02-07,C-102,Throw Pillow,Home,4,18.99,0.00,East,completed
1012,2024-02-11,C-774,Noise-Cancelling Earbuds,Electronics,1,149.99,20.00,West,completed
1013,2024-02-14,C-883,Cookbook,Books,2,22.99,0.00,North,completed
1014,2024-02-19,C-213,Blender,Kitchen,1,74.99,5.00,South,completed
1015,2024-02-22,C-557,Hiking Boots,Apparel,1,119.99,0.00,East,completed
1016,2024-03-01,C-334,Smart Watch,Electronics,1,199.99,0.00,West,completed
1017,2024-03-05,C-119,Candle Set,Home,2,29.99,0.00,North,completed
1018,2024-03-10,C-628,Protein Powder,Sports,1,44.99,5.00,South,completed
1019,2024-03-14,C-102,Mystery Novel,Books,1,14.99,0.00,East,completed
1020,2024-03-20,C-990,Stand Mixer,Kitchen,1,249.99,25.00,West,completed
